Subject,Block,Trial,Running_Trial,Selected,Warning,Covered,Action,Outcome,Cum_Outcome
2,2,11,36,2,1,0,0,0,42
2,2,12,37,4,0,0,1,8,50
2,2,13,38,4,1,0,0,0,50
2,2,14,39,4,0,0,1,8,58
2,2,15,40,2,1,0,0,0,58
2,2,16,41,4,1,0,0,0,58
2,2,17,42,2,1,1,1,-5,53
2,2,18,43,4,1,1,1,-9,44
2,2,19,44,6,0,0,1,2,46
2,2,20,45,6,0,0,1,2,48
2,2,21,46,6,0,0,1,2,50
2,2,22,47,6,0,0,1,2,52
2,2,23,48,4,1,1,0,0,52
2,2,24,49,6,1,1,0,0,52
2,2,25,50,6,1,0,0,0,52
2,3,1,51,6,1,0,0,0,52
2,3,2,52,3,1,1,0,0,52
2,3,3,53,2,1,1,0,0,52
2,3,4,54,5,1,1,0,0,52
2,3,5,55,6,0,0,1,2,54
2,3,6,56,6,1,1,0,0,54
2,3,7,57,6,1,1,0,0,54
2,3,8,58,6,0,0,1,2,56
2,3,9,59,6,0,0,1,2,58
2,3,10,60,6,0,0,1,2,60
2,3,11,61,6,0,0,1,2,62
2,3,12,62,6,0,0,1,2,64
2,3,13,63,6,0,0,1,2,66
2,3,14,64,6,1,1,0,0,66
2,3,15,65,6,0,0,1,2,68
2,3,16,66,6,1,0,0,0,68
2,3,17,67,6,0,0,1,2,70
2,3,18,68,6,1,0,0,0,70
2,3,19,69,6,0,0,1,2,72
2,3,20,70,6,0,0,1,2,74
2,3,21,71,6,0,0,1,2,76
2,3,22,72,6,0,0,1,2,78
2,3,23,73,6,1,1,0,0,78
2,3,24,74,6,1,0,0,0,78
2,3,25,75,6,1,0,1,2,80
2,4,1,76,5,1,1,0,0,80
2,4,2,77,1,1,1,1,-3,77
2,4,3,78,6,1,1,0,0,77
2,4,4,79,3,0,0,1,7,84
2,4,5,80,3,1,1,0,0,84
2,4,6,81,3,1,0,0,0,84
2,4,7,82,3,1,1,0,0,84
2,4,8,83,3,1,0,0,0,84
2,4,9,84,3,1,0,0,0,84
2,4,10,85,3,1,1,0,0,84
2,4,11,86,4,1,0,0,0,84
2,4,12,87,3,1,1,1,-7,77
2,4,13,88,5,1,0,0,0,77
2,4,14,89,6,1,0,0,0,77
2,4,15,90,5,0,0,1,5,82
2,4,16,91,5,1,0,0,0,82
2,4,17,92,5,1,0,0,0,82
2,4,18,93,5,1,0,0,0,82
2,4,19,94,5,1,0,0,0,82
2,4,20,95,3,1,0,0,0,82
2,4,21,96,5,1,0,1,5,87
2,4,22,97,5,1,0,1,5,92
2,4,23,98,5,0,0,1,5,97
2,4,24,99,5,1,0,1,5,102
2,4,25,100,5,1,0,1,5,107
3,1,1,1,4,1,0,1,9,9
3,1,2,2,4,1,1,1,-10,-1
3,1,3,3,1,0,0,1,2,1
3,1,4,4,1,0,0,1,2,3
3,1,5,5,1,1,1,0,0,3
3,1,6,6,6,1,0,1,5,8
3,1,7,7,6,0,0,1,5,13
3,1,8,8,6,1,0,1,5,18
3,1,9,9,6,1,0,1,5,23
3,1,10,10,4,1,0,1,9,32
3,1,11,11,4,1,0,1,9,41
3,1,12,12,4,1,1,1,-10,31
3,1,13,13,4,1,0,1,9,40
3,1,14,14,6,0,0,1,5,45
3,1,15,15,6,1,0,1,5,50
3,1,16,16,6,0,0,1,5,55
3,1,17,17,6,1,1,1,-5,50
3,1,18,18,2,1,1,1,-5,45
3,1,19,19,3,0,0,1,9,54
3,1,20,20,3,1,1,1,-9,45
3,1,21,21,4,1,0,0,0,45
3,1,22,22,6,0,0,1,5,50
3,1,23,23,4,1,0,0,0,50
3,1,24,24,6,0,0,1,5,55
3,1,25,25,6,1,0,1,5,60
3,2,1,26,1,0,0,1,5,65
3,2,2,27,1,1,1,1,-3,62
3,2,3,28,5,1,0,1,5,67
3,2,4,29,5,1,0,1,5,72
3,2,5,30,5,1,0,1,5,77
3,2,6,31,5,0,0,1,5,82
3,2,7,32,5,0,0,1,5,87
3,2,8,33,5,0,0,1,5,92
3,2,9,34,5,1,0,1,5,97
3,2,10,35,5,0,0,1,5,102
3,2,11,36,5,1,0,1,5,107
3,2,12,37,5,1,0,1,5,112
3,2,13,38,5,1,1,1,-7,105
3,2,14,39,5,1,0,0,0,105
3,2,15,40,6,0,0,1,2,107
3,2,16,41,5,1,0,1,5,112
3,2,17,42,5,1,1,1,-7,105
3,2,18,43,5,1,0,0,0,105
3,2,19,44,1,1,0,1,5,110
3,2,20,45,1,1,1,0,0,110
3,2,21,46,1,1,1,1,-3,107
3,2,22,47,5,1,0,1,5,112
3,2,23,48,5,1,0,1,5,117
3,2,24,49,5,0,0,1,5,122
3,2,25,50,5,1,1,1,-7,115
3,3,1,51,4,0,0,1,5,120
3,3,2,52,4,1,0,0,0,120
3,3,3,53,2,1,1,1,-4,116
3,3,4,54,5,1,1,0,0,116
3,3,5,55,4,0,0,1,5,121
3,3,6,56,4,1,0,0,0,121
3,3,7,57,4,0,0,1,5,126
3,3,8,58,4,1,0,1,5,131
3,3,9,59,4,1,1,1,-8,123
3,3,10,60,3,1,1,1,-6,117
3,3,11,61,1,1,0,1,3,120
3,3,12,62,1,1,1,1,-3,117
3,3,13,63,6,0,0,1,2,119
3,3,14,64,6,1,1,1,-2,117
3,3,15,65,4,1,0,1,5,122
3,3,16,66,4,1,0,1,5,127
3,3,17,67,4,1,1,1,-8,119
3,3,18,68,6,1,0,1,2,121
3,3,19,69,6,0,0,1,2,123
3,3,20,70,4,1,0,0,0,123
3,3,21,71,6,0,0,1,2,125
3,3,22,72,6,0,0,1,2,127
3,3,23,73,4,0,0,1,5,132
3,3,24,74,4,0,0,1,5,137
3,3,25,75,4,1,1,1,-8,129
3,4,1,76,5,1,1,1,-9,120
3,4,2,77,3,1,0,1,7,127
3,4,3,78,3,1,1,1,-7,120
3,4,4,79,3,0,0,1,7,127
3,4,5,80,3,1,1,1,-7,120
3,4,6,81,3,1,0,0,0,120
3,4,7,82,3,1,1,0,0,120
3,4,8,83,4,1,0,0,0,120
3,4,9,84,1,1,0,1,4,124
3,4,10,85,1,1,1,0,0,124
